page_id	text	label	Pattern Category
0	1	Claim your free trial now! (Credit card required, subscription auto-renews)	1	Subscription Trickery
1	2	Only 2 items left in stock - order soon!	1	Fake Urgency and Scarcity
2	3	Checkout now to enjoy a special discount (Discount applies to the next purchase)	1	User Interface Deception
3	4	Sign up to continue shopping	1	Forced Account Creation
4	5	Exclusive offer just for you, expires in 1 hour	1	Fake Urgency and Scarcity
5	6	Most users buy this with...	1	Limited User Choice
6	7	Before you go, take this one-time survey to get a discount on your next purchase	1	Privacy Intrusion
7	8	Free shipping (on orders over $200)	1	Hidden Costs
8	9	This product has a 5-star rating by over 10,000 customers	1	Dark Patterns in User Reviews
9	10	Agree to Terms and Conditions to proceed with your purchase (Terms include subscription auto-renewal)	1	Subscription Trickery
10	11	Secure your data with our premium plan	1	Privacy Intrusion
11	12	Complete your purchase within the next 10 minutes to avoid losing your cart items	1	Fake Urgency and Scarcity
12	13	Add gift wrapping to your order for only $4.99 at checkout	1	Hidden Costs
13	14	Users who viewed this item also viewed...	1	Limited User Choice
14	15	Create an account to track your order	1	Forced Account Creation
15	16	See price in cart (price increases once added to cart)	1	Misleading Product Information
16	17	Leave a 5-star review to receive a discount on your next purchase	1	Dark Patterns in User Reviews
17	18	By using this site, you agree to our use of cookies for personalized ads	1	Privacy Intrusion
18	19	Subscribe for a monthly box and cancel anytime (Cancellation process is complex)	1	Subscription Trickery
19	20	Item becomes 20% more expensive at checkout due to added fees	1	Hidden Costs
20	21	Opt-out of data collection (opt-out button is hidden in settings)	1	Data Transparency Compliance
21	22	Press 'OK' to agree with our terms and receive special offers (also opts you into daily emails)	1	User Interface Deception
22	23	Your session is about to expire, click here to continue (misleads into starting a new purchase)	1	User Interface Deception
23	24	Drag to see more products (unintentionally adds products to the cart)	1	User Interface Deception
24	25	Click outside this box to close (actually subscribes you to their newsletter)	1	User Interface Deception
25	26	Confirm your age to access this section (tricks into accepting marketing communications)	1	User Interface Deception
